#Arquivos de dados das instancias
#foi adicionada a ultima coluna com a sequencia imposta
#obs: a instancia 10 pulou a ordem 3 na planilha original, entao
#a sequencia imposta corrige isto.
#Inst    Ord     Rj      Dj      Wj      WTj     WEj     Pj	Seq
1       1       0       20      1       1       1       5	1	
1       2       0       5       1       1       1       4	2
1       3       0       7       1       1       1       3	3
1       4       0       19      1       1       1       10	4
1       5       0       12      1       1       1       2	5
1       6       0       21      1       1       1       11	6
2       1       0       8       1       1       1       4	1
2       2       0       12      1       1       1       2	2
2       3       0       11      1       1       1       6	3
2       4       0       10      1       1       1       5	4
3       1       0       8       1       1       1       4	4
3       2       1       12      1       1       1       2	2
3       3       3       11      1       1       1       6	3
3       4       5       10      1       1       1       5	1
4       1       0       9       1       1       1       7	1
4       2       0       17      1       1       1       8	2
4       3       0       18      1       1       1       4	3
4       4       0       19      1       1       1       6	4
4       5       0       21      1       1       1       6	5
5       1       0       100     12      1       1       11	1
5       2       0       100     9       1       1       9	2
5       3       0       100     89      1       1       90	3
6       1       0       260     1       1       1       121	1
6       2       0       266     1       1       1       79	2
6       3       0       266     1       1       1       147	3
6       4       0       336     1       1       1       83	4
6       5       0       337     1       1       1       130	5
7       1       0       2       1       1       1       1	1
7       2       0       7       1       1       1       2	2
7       3       0       5       1       1       1       3	3
7       4       0       6       1       1       1       4	4
8       1       0       1996    1       1       1       1210	1
8       2       0       2000    1       1       1       790	2
8       3       0       2660    1       1       1       1470	3
8       4       0       3360    1       1       1       830	4
8       5       0       3370    1       1       1       1300	5
9       1       0       16      1       4       1       12	1
9       2       0       26      1       5       1       8	2
9       3       0       25      1       3       1       15	3
9       4       0       27      1       5       1       9	4
10      1       0       8       1       1       1       6	1
10      2       0       42      1       5       1       18	2
10      4       0       24      1       4       1       10	3
10      5       0       90      1       1       1       10	4
10      6       0       85      1       4       1       17	5
10      7       0       68      1       2       1       16	6
11      1       0       8       1       2       1       6	1
11      2       0       42      1       5       3       18	2
11      3       0       44      1       2       2       12	3
11      4       0       24      1       4       2       10	4
11      5       0       90      1       1       1       10	5
11      6       0       85      1       4       3       17	6
11      7       0       68      1       5       1       16	7
#novos dados
12	1	0	4	1	14	1	10	1
12	2	0	2	1	12	1	10	2
12	3	0	1	1	1	1	13	3
12	4	0	12	1	12	1	4	4
